id|price|ean|wartosci_odzywcze|title
557|3.29 zł|5906207510074|{'Wartość energetyczna ': '1476 kJ / 357 kcal', 'Tłuszcz ': '32 g', 'w tym kwasy tłuszczowe nasycone ': '20 g', 'Węglowodany ': '<0,5 g', 'w tym cukry ': '<0,5 g', 'Białko ': '17 g', 'Sól ': '1,7 g', 'metadata': 'w 100 g produktu'}|Président Camembert Naturalny Ser Pełnotłusty 120 G
62779|7.89 zł|3077200116364|{'Wartość energetyczna: ': '1473 kJ / 356 kcal', 'Tłuszcz: ': '32 g', 'w tym kwasy tłuszczowe nasycone: ': '22 g', 'Węglowodany: ': '1,0 g', 'w tym cukry: ': '0 g', 'Białko: ': '17 g', 'Sól:': '1,4 g', 'metadata': 'w 100 g produktu:'}|Valbon Camembert Oryginalny 180 G
78503|1.59 zł|4014500512389||Zott Jogobella Bez Laktozy Jogurt 150 G
89515|1.69 zł|5906040063133|{'wartość energetyczna ': '274 kJ/65 kcal', 'tłuszcz ': '3,1 g', '- w tym kwasy tłuszczowe nasycone ': '2,1 g', 'węglowodany ': '3,7 g', '- w tym cukry ': '3,7 g', 'białko ': '4,8 g', 'sól ': '0,16 g', 'metadata': 'Przeciętna wartość odżywcza w 100 g:'}|Zott Primo Jogurt Naturalny 180 G
98846|2.99 zł|5906040063225|{'wartość energetyczna ': '1207 kJ/293 kcal', 'tłuszcz ': '30,0 g', '- w tym kwasy tłuszczowe nasycone ': '20,1 g', 'węglowodany ': '3,4 g', '- w tym cukry ': '3,4 g', 'białko ': '2,3 g', 'sól ': '0,09 g', 'metadata': 'Przeciętna wartość odżywcza w 100 g:'}|Zott Primo Śmietanka 30% 200 G
80349|1.79 zł|5900197022395|{'Wartość energetyczna ': '410 kJ/97 kcal', 'Tłuszcz ': '2,5 g', 'w tym kwasy nasycone ': '1,8 g', 'Węglowodany ': '15,5 g', 'w tym cukry ': '14,5 g', 'Białko ': '3,3 g', 'Sól ': '0,10 g', 'metadata': '100 g jogurtu'}|Bakoma Jogurt Bio Z Wiśniami 140 G
43335|2.59 zł|5900197007378|{'Wartość energetyczna ': '286 kJ/ 68 kcal', 'Tłuszcz ': '1,6 g', ' w tym kwasy nasycone ': '1,1 g', 'Węglowodany ': '10,6 g', ' w tym cukry ': '10,4 g', 'Białko ': '2,7 g', 'Sól ': '0,10 g', 'metadata': '100 g produktu'}|Bakoma Twist Jogurt Brzoskwinia-Mango 400 G
61421|1.99 zł|5902061001208|{'Wartość energetyczna (energia)': '236 kJ / 56 kcal', 'Tłuszcz ': '2,0 g', 'w tym kwasy tłuszczowe nasycone ': '1,4 g', 'Węglowodany ': '5,5 g', 'w tym cukry*': '5,5 g', 'Białko': '4,0 g', 'sól**': '0,10 g', '*zawiera naturalnie występujące cukry - cukier mleczny': '', '**zawartość soli wynika wyłącznie z obecności naturalnie występującego sodu w mleku. ': '', 'metadata': '100 g'}|Bieluch Jogurt Naturalny 400 G
1893|2.29 zł|5902061000164|{'Wartość energetyczna ': '529 kJ / 127 kcal', 'Tłuszcz ': '8,5 g', 'w tym kwasy tłuszczowe nasycone ': '5,5 g', 'Węglowodany ': '4,0 g', 'w tym cukry*': '4,0 g', 'Białko ': '8,6 g', '**Sól ': '0,10 g', '*Zawiera naturalnie występujące cukry - cukier mleczny.': '', '**Zawartość soli wynika wyłącznie z obecności naturalnie występującego sodu w mleku.': '', 'metadata': '100 g produktu:'}|Bieluch Serek Naturalny 150 G
85823|1.89 zł|59074571|{'energia': '692 kJ/ 166 kcal', 'tłuszcz ': '9,3 g', 'w tym kwasy nasycone ': '5,9 g', 'węglowodany ': '16,9 g', 'w tym cukry ': '16,8 g', 'błonnik': '0,3 g', 'białko ': '3,3 g', 'sól ': '0,14 g', '*RWS - Referencyjna wartość spożycia dla przeciętnej osoby dorosłej (8400 kJ / 2000 kcal).': '', 'Kubek zawiera 1 porcję produktu równą 104 g.': '', 'metadata': '100 g produktu:\nw porcji 104 g:'}|Danone Fantasia Mleczna Jogurt Kremowy Z Kawałkami Czekolady Mlecznej 104 G
62858|3.89 zł|8000430137019|{'Wartość energetyczna ': '690 kJ/165 kcal', 'Tłuszcz ': '9,0 g', 'w tym kwasy tłuszczowe nasycone ': '6,3 g', 'Węglowodany ': '2,0 g', ' w tym cukry ': '1,0 g', 'Białko ': '19 g', 'Sól ': '0,70 g', '*minimum 40% mniej tłuszczu ze standardową Mozzarella Galbani': '', 'metadata': 'w 100 g: Galbani Light*\n w 100 g: Galbani Standard'}|Galbani Ser Mozzarella Light 125 G
88032|3.99 zł|5902899140766|{'wartość energetyczna': '1595 kJ / 385 kcal', 'tłuszcz': '33 g', 'w tym kwasy tłuszczowe nasycone': '24 g', 'węglowodany': '0 g', 'w tym cukry': '0 g', 'białko': '22 g', 'sól': '1,7 g', 'wapń': '710 mg (89% RWS - Referencyjna wartość spożycia dla przeciętnej osoby dorosłej (8400 kJ/2000 kcal))', 'metadata': 'w 100 g produktu:'}|Hochland Ser Żółty Tylżycki W Plastrach 135 G
62786|3.69 zł|5900512700038|{'Wartość energetyczna ': '190 kcal', 'Tłuszcz ': '12,0 g', ' w tym kwasy nasycone ': '7,8 g', 'Węglowodany ': '7,5 g', ' w tym cukry ': '7,5 g', 'Białko ': '13,0 g', 'Sól ': '3,0 g', 'Wapń ': '280 mg - 35%*', '%Dziennej Referencyjnej Wartości Spożycia (dla osoby dorosłej)': '', 'metadata': 'w 100 g'}|Mlekovita Favita Ser Sałatkowo-Kanapkowy Półtłusty 270 G
29749|2.59 zł|5900512850016|{'Wartość energetyczna ': '249 kJ/ 60 kcal', 'Tłuszcz ': '3,2 g', 'w tym kwasy nasycone ': '2,0 g', 'Węglowodany ': '4,7 g', ' w tym cukry ': '4,7 g', 'Białko ': '3,0 g', 'Sól': '0,10 g', '* Referencyjna Wartość Spożycia dla przeciętnej osoby dorosłej (8400 kJ/2000 kcal).': '', 'Zawartość soli wynika z naturalnie występującego sodu.': '', 'Opakowanie 1 L zawiera 4 sugerowane porcje produktu.': '', 'metadata': 'w 100 ml\nw porcji 250 ml\n% RWS* w porcji 250 ml produktu'}|Mlekovita Mleko Polskie Spożywcze 3,2% 1 L
53336|19.99 zł|2209753000000||Mlekovita Ser Gouda
91591|5.79 zł|5900512990552|{'Wartość energetyczna ': '1110 kJ/267 kcal', 'Tłuszcz ': '18,5 g', ' w tym kwasy nasycone ': '12 g', 'Węglowodany ': '0 g', ' w tym cukry ': '0 g', 'Białko ': '25 g', 'Sól ': '2,5 g', 'metadata': 'w 100 g:'}|Mlekovita Zakopiańskie Specjały Ser Wędzony Mini Gołka Zakopiańska 160 G (4 X 40 G)
93502|2.29 zł|5901432000819|{'wartość energetyczna ': '249 kJ / 60 kcal', 'tłuszcz ': '3,2 g', 'w tym kwasy tłuszczowe nasycone ': '1,9 g', 'węglowodany ': '4,7 g', 'w tym cukry ': '4,7 g', 'białko ': '3,0 g', 'sól ': '0,10 g', 'Zawartość soli wynika wyłącznie z obecności naturalnie występującego sodu.': '', 'metadata': 'w 100 ml produktu'}|Mu! Mleko Uht 3,2% 1 L
91589|2.49 zł|5900531004308|{'Wartość energetyczna ': '406 kJ/97 kcal', 'Tłuszcz ': '5,0 g', 'w tym kwasy tłuszczowe nasycone ': '3,5 g', 'Węglowodany ': '2,0 g', 'w tym cukry ': '1,5 g', 'Białko ': '11 g', 'Sól ': '0,70 g', 'metadata': 'w 100 g:'}|Piątnica Serek Wiejski Bez Laktozy 200 G
