|id|price|ean|wartosci_odzywcze|title
54|67134|3.89 zł|5901713003539|{'Wartość energetyczna ': '427 kJ / 101 kcal', 'Tłuszcz ': '0 g', 'w tym kwasy tłuszczowe nasycone ': '0 g', 'Węglowodany ': '19 g', 'w tym cukry ': '16 g', 'Błonnik ': '3,9 g', 'Białko ': '4,3 g', 'Sól ': '0,05 g', '*Referencyjna wartość spożycia dla przeciętnej osoby dorosłej (8 400 kJ / 2 000 kcal).': '', 'metadata': 'w 100 g\n%RWS*'}|Dawtona Koncentrat Pomidorowy 30% 360 G
55|67116|2.79 zł|5901713002693|{'Wartość energetyczna ': '94 kJ / 22 kcal', 'Tłuszcz ': '0 g', 'w tym kwasy tłuszczowe nasycone ': '0 g', 'Węglowodany ': '3,8 g', 'w tym cukry ': '3,8 g', 'Błonnik ': '0,90 g', 'Białko ': '1,3 g', 'Sól ': '0,65 g', 'metadata': 'produktu w 100 g'}|Dawtona Przecier Pomidorowy 500 G
56|72532|1.29 zł|5900983005809||Delecta Drożdże Instant 8 G
57|1516|0.85 zł|5906764641495||Eco+ Sól Kamienna Spożywcza Jodowana
58|105648|5.69 zł|5908249972896||Eureko! Ekologiczna Passata Pomidorowa Bio
59|62483|7.99 zł|5900691031329|{'wartość energetyczna ': '1213 kJ / 288 kcal', 'tłuszcz': '7,2 g', 'w tym': '', '- kwasy tłuszczowe nasycone ': '5,0 g', 'węglowodany': '49 g', '- cukry ': '49 g', 'białko ': '6,7 g', 'sól*': '0,24 g', '*zawartość soli wynika wyłącznie z obecności naturalnie występującego sodu': '', 'metadata': 'na 100 g'}|Sm Gostyń Kajmak Masa Krówkowa Gostyńska 510 G
60|34946|3.89 zł|5906936444435|{'Wartość energetyczna ': '1467 kJ/347 kcal', 'Tłuszcz, w tym:': '2,6 g', '- kwasy tłuszczowe nasycone ': '0,5 g', 'Węglowodany, w tym:': '65,0 g', '- cukry ': '1,2 g', 'Błonnik ': '6,7 g', 'Białko ': '13,0 g', 'Sól ': '0,02 g', '*RWS - Referencyjna wartość spożycia dla przeciętnej osoby dorosłej (8400 kJ / 2000 kcal).': '', 'Opakowanie zawiera 8 porcji produktu.': '', 'Zawartość soli wynika wyłącznie z naturalnie występującego sodu.': '', 'metadata': 'na 100 g\nw porcji 50 g\n%RWS*'}|Halina Kasza Gryczana Prażona 400 G (4 Torebki)
61|34948|2.55 zł|5906936444114|{'Wartość energetyczna': '1561 kJ/370 kcal', 'Tłuszcz, w tym:': '7,0 g', '- kwasy tłuszczowe nasycone': '1,6 g', 'Węglowodany, w tym:': '59,0 g', '- cukry': '1,7 g', 'Błonnik ': '9,5 g', 'Białko ': '13,0 g', 'Sól': '<0,01 g', '*RWS - Referencyjna wartość spożycia dla przeciętnej osoby dorosłej (8400 kJ / 2000 kcal).': '', 'Opakowanie zawiera 8 porcji produktu.': '', 'Zawartość soli wynika wyłącznie z naturalnie występującego sodu.': '', 'metadata': 'na 100 g\nw porcji 50 g\n%RWS*'}|Halina Płatki Owsiane Błyskawiczne 400 G
62|56480|6.38 zł|8715700420387|{'Wartość energetyczna ': '435 kJ / 102 kcal', 'Tłuszcz ': '0,1 g', ' w tym kwasy tłuszczowe nasycone ': '<0,1 g', 'Węglowodany ': '23,2 g', ' w tym cukry ': '22,8 g', 'Białko ': '1,2 g', 'Sól ': '1,8 g', 'metadata': 'w 100 g'}|Heinz Ketchup Łagodny 570 G
63|69220|4.49 zł|5900956201085|{'Wartość energetyczna ': '661 kJ/156 kcal', 'Tłuszcz ': '<0,5 g', ' w tym kwasy tłuszczowe nasycone ': '<0,1 g', 'Węglowodany ': '36 g', ' w tym cukry ': '36 g', 'Białko ': '0,6 g', 'Sól ': '0,04 g', 'metadata': 'w 100 g produktu'}|Herbapol Konfitura Extra Z Wiśni O Obniżonej Zawartości Cukru 240 G
64|45655|3.14 zł|5900956002316|{'Wartość energetyczna ': '125 kJ (29 kcal)', 'Węglowodany ': '6,7 g', 'w tym cukry ': '6,7 g', 'Białko ': '0,7 g', 'Zawiera znikome ilości tłuszczu (w tym kwasów tłuszczowych nasyconych) i soli.': '', 'metadata': '100 g\nDzienna porcja produktu (napar z 2 saszetek po 1,5 g)'}|Herbapol Zielnik Polski Rumianek Herbatka Ziołowa 30 G (20 Saszetek)
65|1875|11.98 zł|8711000521236||Jacobs Krönung Kawa Mielona 250 G
66|59655|2.25 zł|5900084241786||Kamis Kardamon Mielony 10 G
67|59612|1.59 zł|5900084002011||Kamis Papryka Słodka Mielona 20 G
